Conference,name,embed_code,thumbnail
Fall2011,Activepath_cardlyticsHD.mov,//fast.wistia.net/embed/iframe/fc817x9m4c,http://embed.wistia.com/deliveries/738a9dbd2ac0bd55e8e05113f0d57e3e55cf5dd1.jpg
Fall2011,AnderaHD.mov,//fast.wistia.net/embed/iframe/quvwbiy5mp,http://embed.wistia.com/deliveries/7b05e32480b91c61ce13a9b2ae790497f1269896.jpg
Fall2011,AuthentifyHD.mov,//fast.wistia.net/embed/iframe/woa511mw6a,http://embed.wistia.com/deliveries/830b9302ea9ad8fa06cf8d66e4cf14b27e9c1e2c.jpg
Fall2011,BackbaseHD.mov,//fast.wistia.net/embed/iframe/8pb72dqyrm,http://embed.wistia.com/deliveries/42066208ac05dc2399462e07ebdac2607e1bf79f.jpg
Fall2011,BalanceFinancialHD.mov,//fast.wistia.net/embed/iframe/dzvwajfaeu,http://embed.wistia.com/deliveries/0c3d0865372fb2631a10f9a46f5b9e8f53c9ef77.jpg
Fall2011,BankSimpleHD.mov,//fast.wistia.net/embed/iframe/7z2yxnyblw,http://embed.wistia.com/deliveries/1e1d4600b04764ca7804f7aed1953f561c1b6e96.jpg
Fall2011,BettermentHD.mov,//fast.wistia.net/embed/iframe/2elc1pzn4m,http://embed.wistia.com/deliveries/cb1747b54afb5a277735c262329bc324a3035004.jpg
Fall2011,BillGuardHD.mov,//fast.wistia.net/embed/iframe/7ue8elg3nr,http://embed.wistia.com/deliveries/3e96dae83024f67f6ca6727368fb7e9adc5a3893.jpg
Fall2011,BobberHD.mov,//fast.wistia.net/embed/iframe/w02xg623ml,http://embed.wistia.com/deliveries/372596f7c4cd71c4aa7b5eb41d949f9edd27c6fd.jpg
Fall2011,BundleHD.mov,//fast.wistia.net/embed/iframe/ukww1cj0qr,http://embed.wistia.com/deliveries/f05a7e0742d0a2e8361148b9dc3b24025259b4a5.jpg
Fall2011,CarryQuoteHD.mov,//fast.wistia.net/embed/iframe/refm22t13t,http://embed.wistia.com/deliveries/0c772484d0583826c967c6f2849ee4d244bd526e.jpg
Fall2011,CarteraHD.mov,//fast.wistia.net/embed/iframe/g1v7g9wvxn,http://embed.wistia.com/deliveries/eff898aa581fcb37ad9655f5f542ec151e07bca6.jpg
Fall2011,CashStarHD.mov,//fast.wistia.net/embed/iframe/28o6jezjz1,http://embed.wistia.com/deliveries/1d0a0fca0b2817124ab3565e85ca508818ca8de1.jpg
Fall2011,cbancHD.mov,//fast.wistia.net/embed/iframe/y12a3wk1m7,http://embed.wistia.com/deliveries/1ba672d0ed70f315c1c511a5b33b292b008b95d8.jpg
Fall2011,chfmHD.mov,//fast.wistia.net/embed/iframe/btj2p9jo6w,http://embed.wistia.com/deliveries/58a80421e0e4a9b562b138f8ab076b7bb303b115.jpg
Fall2011,CrealogixHD.mov,//fast.wistia.net/embed/iframe/iwma2fhaws,http://embed.wistia.com/deliveries/ef46b4842948bdae15906b579cec1642beb1a639.jpg
Fall2011,CreditSesameHD.mov,//fast.wistia.net/embed/iframe/ktyc5uczrv,http://embed.wistia.com/deliveries/f83c6118ed7d8b8df575d0919c6d6ad75f3c4414.jpg
Fall2011,DeMystHD.mov,//fast.wistia.net/embed/iframe/3iu9xsmjs9,http://embed.wistia.com/deliveries/4af949b906cc305d6914d77e5879aae7e7b23601.jpg
Fall2011,DoughMainHD.mov,//fast.wistia.net/embed/iframe/zar7ouge5g,http://embed.wistia.com/deliveries/f525d2b8f276ad5b96151636506e061ebf8239da.jpg
Fall2011,DynamicsHD.mov,//fast.wistia.net/embed/iframe/fzs6xnv835,http://embed.wistia.com/deliveries/c8aec1d445fa5d774c28f9ea91e0251dd177ae78.jpg
Fall2011,EquifaxHD.mov,//fast.wistia.net/embed/iframe/qgsatneksn,http://embed.wistia.com/deliveries/f76e477a50fcf3c6bc67428f8d021d5336dae8ed.jpg
Fall2011,etoroHD.mov,//fast.wistia.net/embed/iframe/qgavkxtb4j,http://embed.wistia.com/deliveries/83c18c7e1752d5829d550ba64d50b2dc58f9a3ee.jpg
Fall2011,ExperianHD.mov,//fast.wistia.net/embed/iframe/ogmjjvdsvv,http://embed.wistia.com/deliveries/5737234d73f96594cd20cb66863861fe1a12f764.jpg
Fall2011,famzooHD.mov,//fast.wistia.net/embed/iframe/1uehk99u5k,http://embed.wistia.com/deliveries/8a7186cfa09547cfc12a3b36d1d5e2b508de0893.jpg
Fall2011,feefightersHD.mov,//fast.wistia.net/embed/iframe/dppgafi2ha,http://embed.wistia.com/deliveries/db326c66f811a9ff4f7f8c35dac2abbbc3ca7380.jpg
Fall2011,freemoneeHD.mov,//fast.wistia.net/embed/iframe/18tljl43h0,http://embed.wistia.com/deliveries/3e2bbbe36c79f019e5bf4f0b448d161350bd91de.jpg
Fall2011,fuzeHD.mov,//fast.wistia.net/embed/iframe/jpadpzqdud,http://embed.wistia.com/deliveries/af5b70d58172ff0161eb0c0b8dc5f7122faeef1c.jpg
